english-education,2021,Tomorrowland,like,"[{'confidence': 0.07307029798129663, 'genres': 'Action, Adventure, Comedy, Science Fiction, Western', 'rating_average': 0.51, 'title': 'wild wild west'}, {'confidence': 0.05722818223380159, 'genres': 'Action, Comedy, Science Fiction', 'rating_average': 0.6200000000000001, 'title': 'men in black 3'}, {'confidence': 0.056201806402419646, 'genres': 'Adventure, Action, Science Fiction', 'rating_average': 0.71, 'title': 'captain america: civil war'}, {'confidence': 0.051660658305730967, 'genres': 'Action, Science Fiction, Adventure', 'rating_average': 0.61, 'title': 'transformers: dark of the moon'}, {'confidence': 0.04998570566159775, 'genres': 'Science Fiction, Action, Adventure', 'rating_average': 0.6000000000000001, 'title': 'transformers: revenge of the fallen'}]"
psychology,2023,Goodfellas,dislike,"[{'confidence': 0.13897982954221746, 'genres': 'Adventure, Fantasy, Family', 'rating_average': 0.7400000000000001, 'title': 'harry potter and the half-blood prince'}, {'confidence': 0.03827416419009655, 'genres': 'Animation, Comedy, Family, Adventure', 'rating_average': 0.77, 'title': 'up'}, {'confidence': 0.029274792216901463, 'genres': 'Animation, Adventure, Family', 'rating_average': 0.73, 'title': 'frozen'}, {'confidence': 0.027302102078718055, 'genres': 'Adventure, Action, Science Fiction', 'rating_average': 0.71, 'title': 'captain america: civil war'}, {'confidence': 0.021251825365561673, 'genres': 'Science Fiction, Action, Adventure', 'rating_average': 0.58, 'title': 'transformers: age of extinction'}]"
mechanical-engineering,2023,Howl's Moving Castle,like,"[{'confidence': 0.0870755382389857, 'genres': 'Adventure, Family, Fantasy', 'rating_average': 0.67, 'title': 'the chronicles of narnia: the lion, the witch and the wardrobe'}, {'confidence': 0.08437136256366684, 'genres': 'Adventure, Animation, Family, Fantasy', 'rating_average': 0.6400000000000001, 'title': 'the polar express'}, {'confidence': 0.060296730355201604, 'genres': 'Action, Adventure, Fantasy, Science Fiction', 'rating_average': 0.65, 'title': 'man of steel'}, {'confidence': 0.06025520001100688, 'genres': 'Fantasy, Adventure, Family', 'rating_average': 0.5700000000000001, 'title': 'oz: the great and powerful'}, {'confidence': 0.05655610578966527, 'genres': 'Science Fiction, Fantasy, Action, Adventure', 'rating_average': 0.52, 'title': 'jupiter ascending'}]"
computer-science,2022,The Matrix,like,"[{'confidence': 0.10458274488872962, 'genres': 'Science Fiction, Action, Thriller, Adventure', 'rating_average': 0.58, 'title': 'terminator genisys'}, {'confidence': 0.10318771331643616, 'genres': 'Action, Adventure, Fantasy, Science Fiction', 'rating_average': 0.75, 'title': 'x-men: days of future past'}, {'confidence': 0.0989109817091039, 'genres': 'Action, Comedy, Science Fiction', 'rating_average': 0.6200000000000001, 'title': 'men in black 3'}, {'confidence': 0.07828863833724722, 'genres': 'Adventure, Action, Drama, Thriller', 'rating_average': 0.55, 'title': 'poseidon'}, {'confidence': 0.07748788927740627, 'genres': 'Action, Adventure, Drama, Horror, Science Fiction', 'rating_average': 0.65, 'title': 'shin godzilla'}]"
management,2023,X-Men: Days of Future Past,dislike,"[{'confidence': 0.18409103271731453, 'genres': 'Science Fiction, Action, Thriller, Adventure', 'rating_average': 0.58, 'title': 'terminator genisys'}, {'confidence': 0.15086979102063125, 'genres': 'Action, Comedy, Science Fiction', 'rating_average': 0.6200000000000001, 'title': 'men in black 3'}, {'confidence': 0.13633819626522195, 'genres': 'Action, Adventure, Science Fiction, Romance', 'rating_average': 0.48, 'title': 'the lovers'}, {'confidence': 0.13231719129901515, 'genres': 'Adventure, Action, Science Fiction, Thriller', 'rating_average': 0.63, 'title': 'x-men: the last stand'}, {'confidence': 0.11528117697759994, 'genres': 'Science Fiction', 'rating_average': 0.6400000000000001, 'title': 'x-men: apocalypse'}]"
visual-communication-design,2021,Pulp Fiction,like,"[{'confidence': 0.06298173628080583, 'genres': 'Action, Comedy, Science Fiction', 'rating_average': 0.6200000000000001, 'title': 'men in black 3'}, {'confidence': 0.033834646394256235, 'genres': 'Action, Adventure, Fantasy, Science Fiction', 'rating_average': 0.65, 'title': 'man of steel'}, {'confidence': 0.033629359663499975, 'genres': 'Adventure, Action, Thriller, Crime', 'rating_average': 0.61, 'title': 'quantum of solace'}, {'confidence': 0.03344127736652209, 'genres': 'Action, Adventure, Drama, Horror, Science Fiction', 'rating_average': 0.65, 'title': 'shin godzilla'}, {'confidence': 0.03204793609408246, 'genres': 'Adventure, Drama, Science Fiction', 'rating_average': 0.81, 'title': 'interstellar'}]"
information-systems,2024,narnia,like,"[{'confidence': 0.09374705599146915, 'genres': 'Adventure, Fantasy, Family', 'rating_average': 0.7400000000000001, 'title': 'harry potter and the half-blood prince'}, {'confidence': 0.08196962887278368, 'genres': 'Adventure, Fantasy, Action, Romance', 'rating_average': 0.6200000000000001, 'title': 'prince of persia: the sands of time'}, {'confidence': 0.07644965235749934, 'genres': 'Fantasy, Adventure, Animation, Comedy, Family', 'rating_average': 0.6000000000000001, 'title': 'shrek the third'}, {'confidence': 0.07378851447095612, 'genres': 'Action, Adventure, Fantasy', 'rating_average': 0.65, 'title': 'the amazing spider-man 2'}, {'confidence': 0.0639546157282067, 'genres': 'Action, Adventure, Fantasy', 'rating_average': 0.65, 'title': 'the amazing spider-man'}]"
accounting,2021,Another Earth,like,"[{'confidence': 0.14427910068530847, 'genres': 'Action, Adventure, Science Fiction', 'rating_average': 0.5599999999999999, 'title': '2012'}, {'confidence': 0.12234991092696601, 'genres': 'Action, Adventure, Fantasy, Science Fiction', 'rating_average': 0.65, 'title': 'man of steel'}, {'confidence': 0.08752921158420075, 'genres': 'Science Fiction, Fantasy, Action, Adventure', 'rating_average': 0.52, 'title': 'jupiter ascending'}, {'confidence': 0.08195703864011758, 'genres': 'Science Fiction, Action, Adventure', 'rating_average': 0.58, 'title': 'transformers: age of extinction'}, {'confidence': 0.07944675873320566, 'genres': 'Action, Science Fiction, Adventure', 'rating_average': 0.79, 'title': 'guardians of the galaxy'}]"
industrial-engineering,2023,"i, robot",like,"[{'confidence': 0.11790053334377737, 'genres': 'Animation, Family', 'rating_average': 0.78, 'title': 'wall�e'}, {'confidence': 0.0892729509610924, 'genres': 'Adventure, Family, Animation, Action, Comedy', 'rating_average': 0.78, 'title': 'big hero 6'}, {'confidence': 0.07927453487115775, 'genres': 'Action, Adventure, Crime, Fantasy, Science Fiction', 'rating_average': 0.5900000000000001, 'title': 'suicide squad'}, {'confidence': 0.06763369066261364, 'genres': 'Adventure, Science Fiction, Action', 'rating_average': 0.66, 'title': 'transformers'}, {'confidence': 0.06525221034546706, 'genres': 'Action, Science Fiction, Thriller', 'rating_average': 0.5900000000000001, 'title': 'terminator salvation'}]"
accounting,2023,American Psycho,like,"[{'confidence': 0.0465101655622814, 'genres': 'Action, Adventure, Fantasy', 'rating_average': 0.67, 'title': 'spider-man 2'}, {'confidence': 0.04309822453073057, 'genres': 'Fantasy, Action, Adventure', 'rating_average': 0.5900000000000001, 'title': 'spider-man 3'}, {'confidence': 0.042879058969901185, 'genres': 'Animation, Family', 'rating_average': 0.7400000000000001, 'title': 'tangled'}, {'confidence': 0.037276936464401035, 'genres': 'Adventure, Drama, Action', 'rating_average': 0.66, 'title': 'king kong'}, {'confidence': 0.03345068844865271, 'genres': 'Action, Adventure, Fantasy', 'rating_average': 0.65, 'title': 'the amazing spider-man'}]"
